id,timestamp,value,sensor_type,location
1,2025-08-03T23:18:40.917483,957.51,pressure,Building 6-Floor 4
2,2025-07-31T19:50:40.918203,98.46,humidity,Building 9-Floor 2
3,2025-08-01T11:41:40.918216,10.08,temperature,Building 10-Floor 1
4,2025-07-30T20:15:40.918223,1010.38,pressure,Building 17-Floor 3
5,2025-08-03T14:56:40.918230,1007.62,pressure,Building 16-Floor 5
6,2025-07-29T14:45:40.918235,59.87,humidity,Building 11-Floor 1
7,2025-08-04T11:50:40.918241,31.03,temperature,Building 12-Floor 2
8,2025-08-01T16:33:40.918245,43.57,humidity,Building 5-Floor 3
9,2025-07-29T17:50:40.918250,24.73,humidity,Building 14-Floor 1
10,2025-08-01T19:12:40.918255,965.82,pressure,Building 16-Floor 3
11,2025-08-02T11:08:40.918259,22.93,temperature,Building 5-Floor 1
12,2025-07-30T05:35:40.918264,1027.25,pressure,Building 6-Floor 5
13,2025-08-02T08:53:40.918270,13.68,humidity,Building 3-Floor 5
14,2025-08-01T18:13:40.918274,14.09,temperature,Building 4-Floor 4
15,2025-08-01T11:42:40.918279,72.44,humidity,Building 9-Floor 1
16,2025-07-30T11:21:40.918283,925.11,pressure,Building 11-Floor 1
17,2025-07-31T10:26:40.918289,44.41,humidity,Building 5-Floor 4
18,2025-08-01T04:01:40.918295,1000.67,pressure,Building 5-Floor 3
19,2025-08-04T08:01:40.918300,1097.33,pressure,Building 8-Floor 4
20,2025-07-30T06:01:40.918305,2.35,humidity,Building 7-Floor 3
21,2025-07-30T12:23:40.918309,1079.62,pressure,Building 16-Floor 1
22,2025-08-03T12:48:40.918314,941.49,pressure,Building 17-Floor 1
23,2025-08-02T15:26:40.918319,18.66,temperature,Building 17-Floor 1
24,2025-08-03T15:50:40.918323,15.42,humidity,Building 8-Floor 3
25,2025-07-31T06:17:40.918328,35.65,temperature,Building 3-Floor 2
26,2025-08-03T04:16:40.918333,68.42,humidity,Building 11-Floor 4
27,2025-07-31T02:03:40.918338,38.84,humidity,Building 14-Floor 3
28,2025-07-31T08:52:40.918342,950.64,pressure,Building 4-Floor 1
29,2025-08-04T10:08:40.918347,28.69,temperature,Building 16-Floor 1
30,2025-07-29T07:16:40.918352,84.43,humidity,Building 5-Floor 4
31,2025-08-02T15:51:40.918356,1070.53,pressure,Building 8-Floor 5
32,2025-08-01T22:08:40.918361,1015.43,pressure,Building 17-Floor 2
33,2025-08-02T13:44:40.918366,1020.92,pressure,Building 19-Floor 5
34,2025-08-04T11:48:40.918370,1003.62,pressure,Building 7-Floor 2
35,2025-07-31T09:06:40.918375,1013.34,pressure,Building 7-Floor 5
36,2025-08-02T15:22:40.918380,12.85,humidity,Building 3-Floor 2
37,2025-07-30T21:11:40.918384,985.2,pressure,Building 9-Floor 5
38,2025-07-30T05:18:40.918389,9.34,humidity,Building 2-Floor 3
39,2025-08-02T11:59:40.918393,61.93,humidity,Building 11-Floor 3
40,2025-07-29T15:54:40.918398,39.09,temperature,Building 5-Floor 1
41,2025-08-01T12:35:40.918402,33.97,temperature,Building 19-Floor 2
42,2025-08-04T00:47:40.918407,20.2,temperature,Building 19-Floor 3
43,2025-07-31T21:57:40.918411,999.8,pressure,Building 4-Floor 3
44,2025-08-01T06:51:40.918416,39.63,temperature,Building 2-Floor 4
45,2025-07-29T23:31:40.918420,30.9,humidity,Building 3-Floor 5
46,2025-07-29T15:22:40.918425,1066.22,pressure,Building 13-Floor 4
47,2025-08-02T11:50:40.918429,22.5,temperature,Building 13-Floor 3
48,2025-08-03T05:38:40.918434,36.89,temperature,Building 4-Floor 2
49,2025-08-02T03:31:40.918438,73.76,humidity,Building 12-Floor 1
50,2025-07-30T02:46:40.918443,921.5,pressure,Building 4-Floor 5
51,2025-07-31T22:14:40.918447,994.28,pressure,Building 13-Floor 5
52,2025-08-01T12:42:40.918452,14.11,temperature,Building 8-Floor 4
53,2025-08-03T03:00:40.918459,54.78,humidity,Building 11-Floor 4
